frame,timestamp,pose_detected,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility,phase_auto,phase
0,0.0,0,0.4926836855344838,0.1718195997751677,0.0502050925384867,,0.4962026412253615,0.1556774187129694,0.0260816268440515,,0.4977601693643559,0.1538347065240353,0.0260188485254773,,0.4990193012294238,0.1520889974557436,0.0260208734031112,,0.496220813556151,0.1562129097593414,0.0627474949232763,,0.4979081328932221,0.1544072513396923,0.0625951468058815,,0.4995711302006995,0.1520999388678091,0.062501087680563,,0.5127692931181902,0.1480869958242336,-0.0407743333949598,,0.5123770641280223,0.1476184753896473,0.123803570397667,,0.5015048964040263,0.182250260889947,0.0328050521755967,,0.501261033378281,0.1826741760010486,0.0790017946929362,,0.5417445085265422,0.1960183602946623,-0.1487276034651104,,0.5278439334222486,0.2258966689134811,0.2542288373191871,,0.5920593626015673,0.2623201296046064,-0.3329939476468347,,0.5333491217839966,0.3145969510078432,0.4532563909367249,,0.5476428201565374,0.3338352685624904,-0.4212750874824457,,0.5185200330260749,0.3523043552478712,0.5825893516307109,,0.5390919155174202,0.3497142879279343,-0.4473968562963125,,0.5116862129498193,0.3631934473564576,0.6162900140027062,,0.5316094781135343,0.3334943204076142,-0.4390917826782572,,0.5045872501560026,0.3571827411651611,0.5961814890583074,,0.5385066241651147,0.3312019499448633,-0.4175273077888083,,0.5097754043299004,0.353855594680026,0.5767610856703107,,0.5526023048620957,0.4108171904837335,-0.1274583301656729,,0.5375194307807445,0.4196751824208909,0.1273595158766199,,0.5039672101294245,0.5861156728717833,-0.1396786351720769,,0.536814404534293,0.5916572763369636,0.0471072109950172,,0.5106145652024063,0.7427939626720403,-0.1090631711107866,,0.645573763788997,0.5462054893687054,0.0929313678737289,,0.5274623390677928,0.7634799317880114,-0.1065945681054273,,0.6637318313538616,0.5608812549731115,0.1006512994637025,,0.4613522666317598,0.7728453370241024,-0.1813161616454589,,0.6683285592736063,0.5778246330214549,0.0697474001379282,,LEFT_STANCE,LEFT_STANCE
1,0.0334,1,0.4920339328008932,0.1706886320681006,0.0364223839519739,0.9879326224327089,0.4958594308032858,0.1552106574490354,0.0125498454236273,0.992453157901764,0.497521594062552,0.1538049351502132,0.0124082430884554,0.9928781390190125,0.4988957866505311,0.1525368635262643,0.0124886481260708,0.9949522018432616,0.4957878527107772,0.1554871438058107,0.0478932115841994,0.9947013854980468,0.4975104361147314,0.1539567145225885,0.0476965407443629,0.9949846267700196,0.4992203947964249,0.1521504122268904,0.0476345308385526,0.996217668056488,0.5126312891920131,0.1501336590601848,-0.0550270975938628,0.9986482262611388,0.5122769441637961,0.1491191543482401,0.1078018682090551,0.996166467666626,0.5009554891319543,0.1807088365296384,0.018384028174035,0.9978016018867492,0.5006772679882452,0.18139126917699,0.0637057323034825,0.9955052137374878,0.5389407852312904,0.2017109194001953,-0.1569198875889913,0.9999643564224244,0.5308319872075861,0.2268633717423553,0.2282638359111503,0.9995298385620116,0.573028850388694,0.2696942762061434,-0.2990660621569707,0.9945498108863832,0.54400882979373,0.3154632655473858,0.3818332702963503,0.0036490245256572,0.5259928936724897,0.3377052387157521,-0.3358136607216789,0.964085340499878,0.5246982241010333,0.3560628409569081,0.4499515991110899,0.0840859338641166,0.514030184570726,0.3511512867220633,-0.3624833032384618,0.970902383327484,0.5177553896303777,0.3650607547976754,0.4727956135789827,0.1929044127464294,0.5085231055329729,0.3391394750638443,-0.3449020027280686,0.9712378978729248,0.5101869777366,0.3606859103783028,0.4531838216564866,0.1900567710399627,0.5153157971538865,0.3370499610900883,-0.3259618753319848,0.9468125700950624,0.5139530601201361,0.3579390194866209,0.4417474357398234,0.1963655203580856,0.5523353677529556,0.4141951309634257,-0.1222215810647378,0.9999943971633912,0.5432725440372123,0.4218480778740838,0.1221379562691375,0.999990463256836,0.5165409033115095,0.5941087032531528,-0.1345075346998401,0.9992541670799256,0.518327652574419,0.5859436609528286,0.0479189193436315,0.9965062737464904,0.539342941937747,0.7538771137490975,-0.1273000129869768,0.999688982963562,0.6449349347528046,0.5575127259834664,0.1249911377167371,0.9937658309936525,0.5600755223027478,0.7812462619968231,-0.128115668007127,0.9983079433441162,0.6668793486131659,0.5629846141054914,0.1350290446535693,0.9969848990440368,0.4921305183764104,0.7829313978448621,-0.2107422585253948,0.99929678440094,0.6652400328979629,0.6076419520211389,0.1101433450317051,0.9925797581672668,LEFT_STANCE,LEFT_STANCE
2,0.0667,1,0.4919282750233071,0.1686908143869925,0.0447038028623673,0.9891260862350464,0.4959272668633986,0.1537404735257854,0.0210018720139154,0.9932011961936952,0.497568192807111,0.1526187445386584,0.0208181720704604,0.993583083152771,0.4989275925365086,0.1516769612099463,0.0209382304570054,0.9954521656036376,0.4960179756154547,0.1538048147946805,0.0553883420594365,0.9952234625816344,0.4978146107046754,0.1524616542743358,0.055168039193659,0.9954759478569032,0.4995836406459899,0.1509974184847657,0.0551255553578717,0.9965882301330566,0.5124509480449704,0.1502525278807798,-0.0481958236406387,0.998780369758606,0.5125247353996153,0.149077080902242,0.1117007283967135,0.996537446975708,0.500561993438881,0.1785021652152767,0.0257418997203691,0.9980112910270692,0.500446868665291,0.1792977506464178,0.070223909053769,0.995930016040802,0.536331058243216,0.2021054563336162,-0.1538444822415329,0.9999673366546632,0.5348302095364302,0.2258436474211011,0.2209814950858516,0.9995119571685792,0.5574431574983756,0.2702408861238641,-0.2796296596457631,0.994295597076416,0.5569293532338176,0.3125446162301624,0.3385109714555852,0.0038040401414036,0.5076090405176293,0.33242398938099,-0.2988153833609362,0.9663671255111694,0.5326159658965531,0.3573579558264682,0.3668167949903815,0.0804846808314323,0.492777994393191,0.3438144002483165,-0.3270241388907798,0.9718656539916992,0.5257910009308574,0.3657677500814825,0.3826816726675673,0.1828730255365371,0.4888240467140446,0.3342079941904073,-0.3030322178121489,0.9719194769859314,0.5180764222617474,0.36243677646408,0.3630866409390116,0.1800530552864074,0.495527312402681,0.3324195084038319,-0.2852906986272135,0.9470910429954528,0.5209298632639554,0.3598392864901983,0.3571283484533388,0.1862806677818298,0.5521649625195769,0.414810851251051,-0.1183870213327708,0.999993085861206,0.5467227793240049,0.4222949684916678,0.1182993053868934,0.9999856352806092,0.53377229850609,0.5956852798695335,-0.135693878560633,0.9963293075561525,0.5021964947938363,0.5754513473777508,0.0527814215609243,0.960951030254364,0.5739906840113218,0.7534929595905031,-0.1463548765454815,0.9992584586143494,0.6279563576608274,0.575439892309807,0.1417743548195126,0.9470584988594056,0.5972045319619437,0.7813313456126307,-0.1495011989939046,0.9966028332710266,0.6509627380293291,0.5778018646029048,0.1519149621223516,0.9774187803268432,0.5301022986709933,0.7879299839615551,-0.2368605458427281,0.9988036751747132,0.6400251833847914,0.6339279315966273,0.1288689065177543,0.9653447270393372,LEFT_STANCE,LEFT_STANCE
3,0.1001,1,0.4922526383594479,0.166172451854169,0.0685575219231606,0.990152895450592,0.4963170677284542,0.1516302254198593,0.0450069213238279,0.9938471913337708,0.4978427976230921,0.1506677300849439,0.0448091311210935,0.9941914081573486,0.4990901445453264,0.1499256154040357,0.0449383190479169,0.9958840608596802,0.4967512468219082,0.1515286843572464,0.078782214550844,0.9956592917442322,0.4986450758986262,0.1502996652554243,0.0785544056245635,0.9958778023719788,0.5004767899538256,0.1490485141257862,0.0785220276416735,0.9968885183334352,0.5122474613306406,0.1490004559357961,-0.0262148873967343,0.998887836933136,0.5130246775550442,0.1479777824871747,0.1303757399424805,0.9968099594116212,0.5003120495583907,0.1759286456348458,0.0485709760650678,0.9981522560119628,0.5005018939644033,0.1767258641672579,0.0923287875620356,0.9961793422698976,0.5339458656338826,0.1987005361379722,-0.1422327501321591,0.9999695420265198,0.5394330597146131,0.2235305139269585,0.2281284756559033,0.9993311166763306,0.5451548906750894,0.2658204566209746,-0.2712742024576747,0.9941676259040833,0.5708409681186811,0.3071554235089355,0.3187138639685713,0.0035724879708141,0.4927849997798881,0.3211146255473158,-0.2981861342083325,0.9686639904975892,0.5413930697457775,0.3567629787541214,0.325417398815944,0.0733092874288559,0.4756975780069691,0.3309099235526334,-0.328522375969342,0.9731550812721252,0.5348424466200921,0.3655192113909132,0.3376148694253464,0.166663259267807,0.4728728795385027,0.3223512703791644,-0.3005634700501714,0.9729521870613098,0.5272262923784192,0.3627418072282019,0.3179204747393409,0.1640541106462478,0.4795135057125338,0.3208735909634264,-0.2829530439524101,0.947631537914276,0.5295628923358344,0.3599696967290557,0.3150528294917858,0.1697970181703567,0.5520491772320445,0.4134217760154419,-0.1158945651981103,0.9999917149543762,0.5483185544019537,0.4215063291899253,0.1157874856708628,0.9999760389328004,0.5533258965660088,0.5928261845539782,-0.1419741684149751,0.9939926266670228,0.4887081317968302,0.5623884196881651,0.0604957356258775,0.904254913330078,0.6112319320648704,0.7434082857239777,-0.1641760260075123,0.99867445230484,0.5995276568930746,0.5981781896733461,0.1468296704991856,0.8743444085121155,0.6357728410989814,0.7668116121858986,-0.1686645037123373,0.9921934008598328,0.6215252806812459,0.6021240642576507,0.1554537794198887,0.9242380261421204,0.5720286548554481,0.7871988734582095,-0.2574025343903851,0.9979990124702454,0.5993805843424971,0.6569941271713011,0.1312280714398986,0.910133421421051,LEFT_STANCE,LEFT_STANCE
4,0.1335,1,0.492892948967038,0.1634798495919555,0.1014917137878479,0.9911258816719056,0.4969397517212068,0.149243271607897,0.078134208062277,0.9944566488265992,0.4982882405355539,0.1483434871846424,0.0779416158899559,0.9947659373283386,0.499358868334955,0.1476991510057783,0.078057612550807,0.9962904453277588,0.4978277308818622,0.1490215141248037,0.1116241572602783,0.9960874915122986,0.4998262509321555,0.1478483421263439,0.1114004035078701,0.9962836503982544,0.5017157649243631,0.1467112556343035,0.1113718140931116,0.9971941709518432,0.5120400207026021,0.1469342968750111,0.0049813352764033,0.998996078968048,0.5136810103496472,0.1463067865385599,0.1587024918281947,0.9971182346343994,0.5001932977240682,0.1732866764763297,0.0805635664586001,0.99832022190094,0.5007744024405671,0.1740078534974363,0.1237928304465222,0.9965276718139648,0.5318157454748534,0.1929947238563103,-0.1248160539702937,0.9999718070030212,0.5442349970479669,0.2206169892371673,0.2454514384339181,0.999344766139984,0.5360166566633127,0.2582934849606807,-0.2705891529371688,0.9946714043617249,0.5844739504627416,0.3006101078364679,0.3178663173894505,0.019464386627078,0.4818145105471979,0.3069002522038414,-0.3218317920719829,0.9706063866615297,0.5501493469818489,0.3548511886374378,0.317985870135136,0.0665730983018875,0.4631511684342143,0.3156441516809533,-0.3544810271902238,0.9736897349357604,0.5439591264669157,0.3645199169090022,0.3292618820092058,0.150792121887207,0.4610301818881001,0.3072206962219764,-0.324576801561809,0.9731178879737854,0.5366072967335896,0.3619074704763774,0.3097158508909327,0.1483479440212249,0.4676467128844808,0.3059752078462041,-0.3063881775854902,0.947007954120636,0.5387092259102496,0.3587435512414905,0.3076698845360933,0.153726577758789,0.551946099960443,0.4107853299254306,-0.1146841268890943,0.9999917149543762,0.5485082870318897,0.419972634885139,0.1145464195620208,0.9999745488166808,0.5728661983441086,0.5875121991395399,-0.1520849059233854,0.994346022605896,0.4781497641876862,0.5489629619605061,0.069862879517473,0.8887465000152588,0.6477408267401318,0.725389877677242,-0.1787117255942805,0.99871563911438,0.564538456829556,0.6239188193997027,0.1437057360728862,0.856684148311615,0.6727039227674616,0.7407634912670911,-0.1835189248090023,0.992645800113678,0.5841102576478103,0.6327422708620281,0.1497902240960195,0.9220686554908752,0.6146706342697144,0.7800958444188532,-0.2700997349612918,0.998052179813385,0.5500028093794849,0.677152094168541,0.122524826641961,0.8988253474235535,LEFT_STANCE,LEFT_STANCE
5,0.1668,1,0.4937351330038007,0.1609593127226777,0.1370145511099234,0.9914173483848572,0.4977062371644117,0.1469429705665387,0.1139529469381751,0.9945964813232422,0.4988473535695564,0.1460376112333269,0.1137761220266493,0.9948515892028807,0.4997091895633655,0.1454138929124204,0.1138648096176783,0.9963358640670776,0.4990874923470426,0.146646065728648,0.1474634983895962,0.99599027633667,0.5011825550408363,0.1454852795475849,0.1472507963143726,0.996085286140442,0.5031164877620343,0.1443931994946689,0.1472227811153399,0.9969942569732666,0.5118478178144346,0.1446109043482025,0.0394584685173277,0.9988985657691956,0.5143979735029894,0.1445496204919195,0.1915565730356952,0.9965113401412964,0.5001933781694987,0.1708746564277128,0.1154119801514357,0.997830331325531,0.5011964526487687,0.1714759623948792,0.1583885003254689,0.9955046772956848,0.529971235837693,0.1864865845316777,-0.1043257564653608,0.999972403049469,0.5488304808423248,0.2177960913289681,0.2686970442325091,0.9991580843925476,0.5298810622075232,0.2495204684061887,-0.274163973428709,0.995073676109314,0.5965585762804217,0.2942230896655224,0.331392701272365,0.0208672825247049,0.4749913119074914,0.2929039743396792,-0.3576582357600026,0.9719573855400084,0.5580046089379116,0.3521958643739881,0.3367546684953167,0.0600224956870079,0.4555009986970818,0.3012233796792158,-0.3924031052695018,0.9735697507858276,0.5521904402401632,0.3629746448187847,0.3492893885760325,0.13587686419487,0.4536565316445909,0.2924676643107049,-0.3621532544667356,0.9725513458251952,0.5451901439742343,0.3602402340143162,0.3305032972272466,0.1336619555950164,0.4602992697195583,0.2912873581294975,-0.3430353658043706,0.9441148042678832,0.5472259425616777,0.3565741510658005,0.3271285192671918,0.138557031750679,0.5518138187748581,0.40765893764985,-0.1146956206340614,0.9999905824661256,0.5477403949746453,0.418184360493592,0.1145200295013428,0.9999688267707824,0.5900577046932332,0.5817241054592723,-0.1647625927463837,0.9926469326019288,0.4708085925706905,0.5373830582712091,0.0796838712146928,0.8465210199356079,0.6801915086788468,0.7012045209780178,-0.187910239526998,0.9976657032966614,0.5278783818502816,0.6508529828144969,0.1359512028577447,0.837425947189331,0.7049212500209869,0.706263412406674,-0.1919778049304773,0.9908327460289,0.5442609500079179,0.6664475422083374,0.1390690237005832,0.9173520803451538,0.6547892842537333,0.7659786749275153,-0.2726836583483753,0.9967275261878968,0.4985884321041607,0.6947133880117294,0.1080631589677647,0.8838329315185547,LEFT_STANCE,LEFT_STANCE
6,0.2002,1,0.4945872952610196,0.1582730180108467,0.1691598694832318,0.9918127059936525,0.498435885061474,0.1446181100148424,0.1472521469448555,0.9945347905158995,0.4993460465283393,0.1437451915863236,0.1470769156282879,0.9947210550308228,0.4999643367626183,0.1431494783479853,0.147143476631814,0.9961599111557008,0.5002449049260522,0.1442852032768146,0.1810394616532719,0.9957981705665588,0.5024133334348818,0.1431596089145801,0.1808329751337329,0.9958707690238952,0.5043821378604527,0.1421883054824423,0.1808162383335735,0.9967957735061646,0.511509627451153,0.1425841778586241,0.0739513016077919,0.9986444115638732,0.5150126195176232,0.1433593536659835,0.2296052064859511,0.995771586894989,0.5002196635399676,0.1681867960866518,0.1476713377604642,0.997008502483368,0.5016445318857841,0.1687445538444122,0.1909455992541951,0.9939756393432616,0.5277366827140055,0.181644231393621,-0.0756203348646354,0.9999733567237854,0.553857690943428,0.2166253948336719,0.2937264912056206,0.999133825302124,0.5249921857338141,0.2425326960278563,-0.2624428345190067,0.9953579902648926,0.6092142825360078,0.2903282263062223,0.352270102236933,0.0226218290627002,0.4721642115733017,0.2844073512615307,-0.3614630864841962,0.9691225290298462,0.5655911717659401,0.3475079036259159,0.3687241839848484,0.054108090698719,0.4526357080414033,0.2927747862044476,-0.395933899568234,0.967653214931488,0.559584955096524,0.3579057971219646,0.3836221623740282,0.1224235221743583,0.4504785996217003,0.2850008891734771,-0.3653340083318998,0.9652444124221802,0.5529166023075454,0.3546508611776897,0.3702383243537457,0.1204151436686515,0.4576798532253667,0.2833772348218314,-0.3471426988815101,0.9275429248809814,0.5548148023220777,0.3508273573605338,0.3612252352259939,0.1248564422130584,0.5514827968079462,0.4041387213693641,-0.1158985668198492,0.999989688396454,0.5472690599225908,0.4158894296709483,0.1156728712967783,0.9999666810035706,0.6028850469000148,0.5812679322171613,-0.1821414415652939,0.9914575219154358,0.4652432852135959,0.5320276330401025,0.0883338245235402,0.8213974237442017,0.704027821134022,0.6718136590399679,-0.1919591082802746,0.995771586894989,0.4956318526279131,0.6768661806911315,0.1329031884149241,0.8381887078285217,0.7297501343113575,0.6664232162884636,-0.1936971664967102,0.9879132509231568,0.5090602591876949,0.6980539578380023,0.1338711554458094,0.9195663332939148,0.6903753648826864,0.7371490303175172,-0.2617113593019256,0.994504690170288,0.4575619915704359,0.7118488294539211,0.1015538037222723,0.8825652003288269,LEFT_STANCE,LEFT_STANCE
7,0.2336,1,0.4954499229267771,0.1570092454587388,0.175780347231472,0.9915189743041992,0.4992221659157948,0.1435368035014695,0.154270392384528,0.9931440949440002,0.4999862883613393,0.1426579194677462,0.1540977330704707,0.9930298328399658,0.5004814544340959,0.1420460942533469,0.1541320177051297,0.9949636459350586,0.5013744803297503,0.1431743710330041,0.1889748064961749,0.994153082370758,0.5035645010032309,0.142023040420248,0.1887747247015197,0.993914008140564,0.5055135102955622,0.141071316419226,0.1887569878910323,0.9953696131706238,0.511455565343649,0.1418350185061393,0.083155347989538,0.9977288842201232,0.5155273250766579,0.1431880737448631,0.244808863370847,0.9923872351646424,0.5004637101035585,0.1671109562848279,0.155158282171323,0.9948499202728271,0.5021423209797263,0.1674973465554367,0.199478357075117,0.98951917886734,0.5261418380381633,0.1801913577568284,-0.0658245024494914,0.999974250793457,0.5559950344490295,0.2170726514154385,0.3094057781504591,0.9991317987442015,0.5234452229001872,0.239446040008452,-0.2671364993899024,0.9956095814704896,0.6119892806995735,0.2899434399076837,0.377422799319377,0.0211822856217622,0.4760310264317317,0.2863261215475617,-0.380655027978071,0.9680070281028748,0.5694773361121592,0.3469079255640931,0.4152756737662371,0.0487624965608119,0.4585664534902249,0.2959292976311599,-0.4150861805274501,0.9647637009620668,0.5648061374684327,0.3579820407715163,0.4346756628065408,0.1102815121412277,0.4555634683245556,0.288511191353654,-0.3869018247633278,0.9620148539543152,0.5583217381597412,0.3546130452956361,0.4259860851131127,0.1084624752402305,0.4629444384074721,0.2864564152169623,-0.3680445139919414,0.9196409583091736,0.5598227073262634,0.3501912012939416,0.4100244180027986,0.1124833673238754,0.5509993884113297,0.4038464138002116,-0.1189101927833404,0.999987244606018,0.5452006457846772,0.4162178743274627,0.1186451257351953,0.9999627470970154,0.6067197804962297,0.5846286292398462,-0.2005526923633126,0.9894484281539916,0.4656976186312172,0.5345524370253514,0.0956039468742614,0.7776036858558655,0.7130965807221168,0.6374515807712009,-0.1801671329538379,0.9899156093597412,0.4730455869839196,0.6992801497310485,0.1330280319411996,0.8192356824874878,0.7371852718866805,0.6198738757824855,-0.1779724173638583,0.9835641980171204,0.4845300524523774,0.7253918001701798,0.1327549717052558,0.9179425239562988,0.7136503904015883,0.7023704727212882,-0.2296459953211652,0.9876466393470764,0.4232289489610499,0.7246933321019169,0.0996514441302191,0.8667013049125671,LEFT_STANCE,LEFT_STANCE
8,0.2669,1,0.4961872104303553,0.1590928461376607,0.1733557653454915,0.9922567009925842,0.4999137558998217,0.1452479941514269,0.1523542979293634,0.9936017990112304,0.5006543671612429,0.144265529645351,0.1521886624352432,0.9935182332992554,0.5011301319221249,0.143546299709307,0.1521950254655318,0.9952943921089172,0.5021718441050659,0.1450248551674381,0.1882966804320305,0.9945045113563538,0.5043007913447215,0.1438243999069946,0.1881054832419875,0.9943147897720336,0.5061507779401511,0.1428301789057563,0.1880909903778206,0.9956379532814026,0.5116964453583842,0.1434181513555681,0.0841885696953308,0.9978963136672974,0.5157440843837812,0.1452345911300546,0.2526583527421068,0.992904245853424,0.5008722183865556,0.1691855117852319,0.1540896677344798,0.9952183961868286,0.5025896650927895,0.169508864308571,0.1997083218503392,0.990286111831665,0.5258431363772691,0.1821732193509463,-0.0613979224662681,0.9999764561653136,0.5557853372502728,0.2197895464433105,0.3256331398770533,0.9991984367370604,0.5263518525726045,0.2399365937029014,-0.2747028351246899,0.9960424900054932,0.6015864603725082,0.2962914774051086,0.4162037622678539,0.0216327384114265,0.4856529776310875,0.2960540139591783,-0.3971483724447961,0.97115558385849,0.5632165004879179,0.3492383833948557,0.4814100854255113,0.0445456691086292,0.4702245111648863,0.3091771568590673,-0.4314338647541198,0.9682089686393738,0.557695708074771,0.3599268110482017,0.5068878199045487,0.1002097129821777,0.4663213792936518,0.3019863220500508,-0.4062050935271745,0.9657330513000488,0.5518833267522038,0.3571349387958062,0.4996548397140914,0.0984638184309005,0.4732683944952248,0.2986511900708398,-0.3863613283856496,0.9274532198905944,0.5534770301171962,0.3524343001814718,0.4774840765205029,0.1022042259573936,0.550272511018741,0.4061075980429891,-0.1235489254265956,0.9999873042106628,0.5443882686552758,0.4185912321497519,0.1232598037187594,0.9999642372131348,0.5969205671673902,0.5905516550535379,-0.2060531520899086,0.9904698729515076,0.4760141040617502,0.5456421704559071,0.0975460179480085,0.7935560345649719,0.7102678896108168,0.6056467368330447,-0.149101910587305,0.9907251596450806,0.4703558676448467,0.7221100372034369,0.1262276952951663,0.8353867530822754,0.7313930086600491,0.5778432432866054,-0.1428921454193156,0.9849827885627748,0.4804459129457995,0.7532826974675388,0.1250482516793107,0.9255877733230592,0.7227011423010943,0.6636901753487857,-0.1748493735250827,0.9886642694473268,0.4117146592873802,0.7388256686828647,0.0932246726136526,0.8789461255073547,LEFT_STANCE,LEFT_STANCE
9,0.3003,1,0.4966848059828753,0.1641041304403811,0.1534126939182553,0.9927202463150024,0.5004032932239267,0.149941380832579,0.1330405823400112,0.993704617023468,0.5012413062554706,0.1487694937727115,0.1328472789824186,0.9935538172721864,0.5018023992335057,0.1478650235768523,0.1328642723261271,0.9953774213790894,0.5025491940947413,0.1498917797298145,0.1692611225826413,0.994381070137024,0.5045580798651522,0.1485784518899343,0.1690694136623219,0.9940807223320008,0.5062788986103807,0.1474322665196202,0.1690759318044938,0.9954715967178344,0.5120915813601667,0.1475514421165687,0.0690935684806541,0.997879683971405,0.5157214447612819,0.1494878438108176,0.2407699635117765,0.992240846157074,0.501282937598952,0.1739423003369004,0.1358807424527307,0.9950231313705444,0.5029119882550284,0.17435709413115,0.1823066310014901,0.9897412657737732,0.52736355972179,0.1874929331329878,-0.0669052276091699,0.9999776482582092,0.5527749728489602,0.2241522912587324,0.3267353767906876,0.9992349147796632,0.535001761290856,0.2451448576711558,-0.2797194456720692,0.9961962103843688,0.5881437263288711,0.3035434485871203,0.4332207283634693,0.020029954612255,0.4976921048197724,0.3109434484601861,-0.3961472005555133,0.9671148657798768,0.5536083541550014,0.3547243174417321,0.5039877451799978,0.040184449404478,0.4844900440502844,0.3271636020887155,-0.4328090631183776,0.9605790972709656,0.5488035783067462,0.3658139347196467,0.5303665416918725,0.0903448536992073,0.479426081016626,0.3202608990502531,-0.4087013664084445,0.9573663473129272,0.5421114255498352,0.3629483598651316,0.5208949343168942,0.0887607783079147,0.4857000394578868,0.3157424648880688,-0.3858362447409649,0.9128264784812928,0.5431005660192685,0.357578765818012,0.4992500701984336,0.0921592935919761,0.5502951214641414,0.4107386028711066,-0.1260650028368257,0.9999870657920836,0.5441998979706321,0.4228204076106741,0.1257800830827729,0.999965488910675,0.5787930294072446,0.5968035138570358,-0.2018966771366995,0.9910643696784972,0.4803484529604177,0.56021022310346,0.0931855849834868,0.7475963234901428,0.696537529671944,0.5777206261119099,-0.1053099247663868,0.9894319176673888,0.4719969684427445,0.7349556139854857,0.1316455131991485,0.8299819827079773,0.7158160550055264,0.5466040010218866,-0.0951216704253378,0.984582781791687,0.4831601001304912,0.767592439979386,0.1316574746981648,0.9231955409049988,0.7178068277719154,0.6254395923136566,-0.1125682607045647,0.9875600934028624,0.4112840997867104,0.7466131504321171,0.1035970686598398,0.8739314079284668,LEFT_STANCE,LEFT_STANCE
