frame,timestamp,pose_detected,NOSE_x,NOSE_y,NOSE_z,NOSE_visibility,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_visibility,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_visibility,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_visibility,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_visibility,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_visibility,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_visibility,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_visibility,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_visibility,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_visibility,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_visibility,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_visibility,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_visibility,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_visibility,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_visibility,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_visibility,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_visibility,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_visibility,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_visibility,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_visibility,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_visibility,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_visibility,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_visibility,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_visibility,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_visibility,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_visibility,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_visibility,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_visibility,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_visibility,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_visibility,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_visibility,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_visibility,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_visibility
0,0.0,1,0.7201496625280044,0.30128489320094776,-0.15484003701826896,0.9998831748962402,0.7182552047542757,0.2852363655200372,-0.13119504689336642,0.9996016621589661,0.7154444164329475,0.28385053418733025,-0.13167104755456616,0.9996219873428345,0.7129485490438822,0.2826652651900178,-0.13177920440277005,0.9997304081916809,0.7168617494456415,0.28487267610910066,-0.19054617644189936,0.9998853206634521,0.7127842261241035,0.2833682661289937,-0.1910591032746787,0.9999200105667114,0.7092479000558385,0.2821041658208087,-0.19141028102461263,0.9999086856842041,0.6857518849672971,0.27995066125909773,-0.0030052529849840135,0.9999090433120728,0.6820901728176569,0.2802386784053348,-0.2768805885648394,0.9998966455459595,0.7070817651448547,0.3119717892650124,-0.09997313954196593,0.9997438788414001,0.7053175010047592,0.3118997524668289,-0.18208086563573828,0.9998942613601685,0.6302467213644011,0.3540724736827238,0.24561906152671878,0.999970555305481,0.636999354495869,0.3623679026023492,-0.4041044764168612,0.9999794960021973,0.5959786084982066,0.45274564019449937,0.6154509299284923,0.03434307873249054,0.5853280900241614,0.47907876718294384,-0.47533998560238566,0.9982023239135742,0.7011485875069682,0.4598628055382441,0.8647443198084399,0.2202935665845871,0.6703303868953996,0.5559911782091315,-0.40545232917045404,0.9892281293869019,0.7311721043986876,0.4541883008046583,0.9240560465837467,0.33954402804374695,0.6986033482985063,0.5619877322570429,-0.45581013422745953,0.9814999103546143,0.7362246204923083,0.45669294424823914,0.861549003609826,0.3537677824497223,0.701891034216314,0.5468728371433444,-0.42333528628716116,0.9819712042808533,0.7236948884450473,0.4597029658881099,0.8459913407230953,0.34484151005744934,0.6941772703524236,0.5442613138185514,-0.39128357067808434,0.9584685564041138,0.60075067014961,0.5625105800328556,0.20869841338037629,0.9999713897705078,0.5821072901045525,0.5665334967466501,-0.2087208603645537,0.9999767541885376,0.6726199438521911,0.7187811194599921,0.27191064595342546,0.4389955401420593,0.6790245000299043,0.7375654286437937,-0.3201696546552898,0.9969178438186646,0.5948226822839752,0.8611747197337921,0.414904260343605,0.9386793971061707,0.45634152818393037,0.7285291631738622,-0.03443395909104324,0.9916837215423584,0.5715525123206053,0.8786981835231916,0.42207001993706184,0.9410914778709412,0.42591442886766023,0.7032686838736903,0.003185759187786558,0.9669502973556519,0.6312061885853749,0.8921488060817855,0.37379676249477417,0.9537844657897949,0.39683517542752356,0.8026850807083236,0.032494318411014474,0.9900914430618286
1,0.0333,1,0.7205024349105942,0.2938785803067935,-0.12956015713564986,0.999845027923584,0.7187099165016122,0.27894534889634687,-0.10643729838457966,0.9995140433311462,0.7158365316324301,0.27757841786304555,-0.10677847823688191,0.9995191097259521,0.7132034451811465,0.2761709992285375,-0.1067864151892961,0.9996830224990845,0.7173934487196115,0.27868369325891257,-0.16815711193151395,0.9998549818992615,0.7132883501219586,0.27716682528282394,-0.1686362269875052,0.9998922944068909,0.7097436273014629,0.27561730146408087,-0.16883803508081627,0.9998869299888611,0.6862545576128927,0.2726442423108576,0.01015404476360851,0.9998891949653625,0.6830030913119551,0.2726197579315492,-0.2677196326789323,0.9998652338981628,0.7071170073289138,0.3050142412002271,-0.0759223447135694,0.9997119903564453,0.7054655543574088,0.30452496063459195,-0.15790198983012366,0.9998757839202881,0.6316344454571915,0.3501919645529529,0.22144978915477975,0.9999688863754272,0.63263012020738,0.3538569537076084,-0.38584446865361893,0.999977171421051,0.617353184239848,0.4489578594277788,0.41626251744223597,0.03523782640695572,0.5663572812413838,0.46189683488198946,-0.4815868549830432,0.9981455206871033,0.6996777320241598,0.4393118103067358,0.415848364154774,0.22594177722930908,0.6468401938885241,0.5377486302302433,-0.43300193506520956,0.9877738356590271,0.7265675401354172,0.43266017891310316,0.42731321569844605,0.34702903032302856,0.674081744847598,0.5448065020821313,-0.48428163182485384,0.9784026741981506,0.731438653869229,0.4275118589818059,0.3812558230442481,0.36127573251724243,0.6791125056626913,0.5308564872174831,-0.460508250481599,0.9789837002754211,0.7191448974442651,0.431128435201578,0.3961980530871642,0.3510604500770569,0.6723287709943067,0.5284985952027195,-0.4217281010184257,0.9531021118164062,0.5959284622352443,0.5614416353352423,0.20296987932878793,0.9999721646308899,0.5878710321613125,0.5634009387943294,-0.20310851462654295,0.9999769330024719,0.6313667401567205,0.7118272093626169,0.30800497490209333,0.43341490626335144,0.7100248699421652,0.71420510290386,-0.2969791275429559,0.9958016276359558,0.5362862640327508,0.86732659264878,0.4383316348482681,0.9312710165977478,0.5017303094997274,0.7609263033300012,-0.042020113396269466,0.9875836372375488,0.5109994603203729,0.8865147516444014,0.4423005207852053,0.9372315406799316,0.4694120433780699,0.7506133822294384,-0.01331393907849611,0.958021879196167,0.5718049888427443,0.9053432724692609,0.38095810738476865,0.9463655948638916,0.48083411230073947,0.8360388353988006,-0.022042094215333978,0.9861029982566833
2,0.0667,1,0.7203943332036338,0.2867444739058302,-0.11603616659110508,0.9997899532318115,0.7187099333131788,0.2725615277018026,-0.09366079656046859,0.9993318319320679,0.7158955384245564,0.27123635354297704,-0.0939261353898159,0.9993144869804382,0.713249388969306,0.26973457839383397,-0.09387311407110896,0.9995599389076233,0.7173550977851407,0.27229847823267506,-0.1569459724884766,0.9997878074645996,0.7133032305813061,0.2707397204179031,-0.15742148476324985,0.999836802482605,0.7097590828275347,0.2689696923419313,-0.1575437117984522,0.9998452663421631,0.6865084194914723,0.2655616876406549,0.01706662815550485,0.9998259544372559,0.6833515182519574,0.2651593944965265,-0.26393613465877136,0.9998182654380798,0.7067188635850566,0.2981203657624884,-0.0624023007624076,0.9996753334999084,0.7051077569837062,0.29736362185789467,-0.14467562849705023,0.9998552799224854,0.6324712172810568,0.34511124921011777,0.20768217047750262,0.9999666213989258,0.6289190652765041,0.34576483379988693,-0.3730419319131714,0.9999764561653137,0.6240223800385752,0.4429063232906492,0.2921703160156455,0.0463094562292099,0.5484773901514799,0.4473560897759349,-0.4826284624757747,0.9979370832443237,0.6948427424564231,0.4289237215663448,0.13462964039391256,0.25413867831230164,0.624966200137194,0.5239718752307492,-0.44909826796371627,0.9863343834877014,0.7201900387699512,0.423360944627882,0.11662145307187544,0.3728788495063782,0.651277879179219,0.5323656859931415,-0.5003937352926306,0.9749600887298584,0.7246679885959851,0.4142423529863911,0.07945010112924011,0.38577359914779663,0.6575775994009626,0.5192405930210107,-0.48328594568170324,0.9752997756004333,0.7128364923117048,0.41746962306660634,0.11377428411364743,0.3703557848930359,0.6515725046604667,0.5166948009759953,-0.44007234153769814,0.9469448328018188,0.593419648689546,0.5587751844546182,0.19836848046812997,0.9999683499336243,0.5944325491820738,0.559793470067022,-0.19860059415404888,0.9999740719795227,0.5948673314425772,0.705761501839111,0.31950881604826015,0.4067985713481903,0.7301946760335449,0.6984077418322889,-0.2705415036607456,0.9895970821380615,0.4810859071208049,0.861615129978785,0.4387509038537258,0.888917088508606,0.5566724694414297,0.7901511937032489,-0.04708735098615112,0.9758008122444153,0.45304134119918593,0.8794781682374595,0.4406369470216182,0.899787187576294,0.5247343614662725,0.7925557997121124,-0.025652646254270512,0.9286471605300903,0.5097320909961401,0.906613678087444,0.3702372902339992,0.9095396995544434,0.5666164857246382,0.8613090565154602,-0.06506293695116103,0.9724071025848389
3,0.1,1,0.7199630002319676,0.28038894164534445,-0.11209169998417629,0.9997645020484924,0.7183680321092096,0.2666231044383595,-0.09058808852291045,0.9992647767066956,0.7156987560517862,0.2653545674744186,-0.09082517049564066,0.9992297887802124,0.7131309153594617,0.2638565375879929,-0.09074170885733501,0.999518871307373,0.7168951304086718,0.26628694000777675,-0.15479706971100712,0.9997502565383911,0.7129559010475668,0.264672833549115,-0.1552906782129705,0.9998039603233337,0.7094164157941903,0.26274750015257686,-0.15538768595332023,0.9998245239257812,0.6865499766417597,0.25921456224018063,0.018694693460628596,0.9997953772544861,0.6832596254654424,0.2584332999857989,-0.26478771024789577,0.9997790455818176,0.7060237536619318,0.2918439967718437,-0.05759325142437473,0.9996558427810669,0.7043993136126959,0.29094424222038096,-0.1404929309041349,0.9998384118080139,0.6327572778249397,0.3396922346109001,0.20176149644218128,0.999961256980896,0.6259045747471302,0.33870022637999714,-0.3656425909562545,0.9999744892120361,0.6195560571474912,0.4360477118850588,0.2286653918646151,0.04942921921610832,0.5330483511194486,0.43606197979900413,-0.48033174413901136,0.9951999187469482,0.6874613850822541,0.4274191664649057,-0.01075776934511008,0.2558976411819458,0.6064905681254424,0.5145091046264398,-0.4563268349443005,0.9777765274047852,0.71237077260073,0.4244997567369111,-0.04334784188798624,0.37315964698791504,0.632040418528177,0.5242996848685484,-0.5070214552896009,0.9627746939659119,0.7163888381355575,0.41426993889130614,-0.07762318922072342,0.3847658634185791,0.6391487727354177,0.5117033829777948,-0.4946094632912906,0.9626703262329102,0.7052202092739812,0.41636253580763605,-0.03299128332315093,0.36433911323547363,0.6337352151220499,0.5086784192593226,-0.4489039653664704,0.9265904426574707,0.5926744412708953,0.5553975656871755,0.19485588957032418,0.9999592304229736,0.6013494032524127,0.5563679117283898,-0.1951609305464304,0.9999682307243347,0.5644857879979904,0.7009636924400198,0.3138614522861993,0.38031262159347534,0.7407327892480199,0.6893197088252696,-0.24221493196966773,0.9536055326461792,0.4315568723809193,0.8469849718617396,0.4247856047568902,0.8409125804901123,0.6147182710242998,0.8160873861996443,-0.04839335574544876,0.9438552856445312,0.4004709438913632,0.8612271397958549,0.42570249894351714,0.8662786483764648,0.5848129620224171,0.8289270032119086,-0.03253841732296494,0.8868993520736694,0.44917877008031337,0.8986455379249338,0.35016617523658283,0.8686326742172241,0.6484473050335349,0.8798304893475868,-0.09567366955510948,0.9359660148620605
4,0.1333,1,0.7193460788204399,0.27531835117262293,-0.11555039191440525,0.9997250437736511,0.717796989809939,0.26166828160797256,-0.09494172137378248,0.9992091655731201,0.715323503756579,0.2604632859046643,-0.09518673503662875,0.999167263507843,0.7128925593027148,0.2590374117131001,-0.09509460735710058,0.9994838833808899,0.7161619803566478,0.2612189875616061,-0.15959471519732527,0.999713659286499,0.7123733950661615,0.2595520466913433,-0.16011960894772492,0.9997745752334595,0.7088377753615658,0.25753688659423446,-0.16023033232122025,0.9998050928115845,0.686415735102478,0.2541144311011256,0.016000436948903334,0.9997768402099609,0.6828515847801888,0.25301718628489883,-0.2695319751898449,0.9997504949569702,0.7051680973081881,0.28673896804834037,-0.059675440435364976,0.9996497631072998,0.7034954289734228,0.28579532780569505,-0.1434450463189944,0.9998287558555603,0.6324928680777826,0.3347968277119814,0.2011330579961097,0.9999558329582214,0.6236250336631475,0.33327181494875124,-0.363592170543604,0.999972939491272,0.6075240768196981,0.4298387053129557,0.21123881120503896,0.061575066298246384,0.521430098510289,0.42861995288542126,-0.47656363603118446,0.9932717680931091,0.6783514261801485,0.4335187721502531,-0.052159782933259846,0.2635233700275421,0.5931954603373032,0.5092085098331068,-0.4572731430852886,0.9672076106071472,0.7034409139261938,0.43428577402810686,-0.08792326977316034,0.37964922189712524,0.6182180301292797,0.5202428995868268,-0.5070398024745757,0.9482936859130859,0.7070774159509268,0.424980129325862,-0.12371907509116753,0.3901645839214325,0.6256884829703465,0.5079230855117034,-0.4974198947141777,0.9475660920143127,0.6967465845577093,0.4254431797491085,-0.07580996634892656,0.3643256425857544,0.6206436461502026,0.5042779381736453,-0.4508106456353116,0.9044975638389587,0.5931430517376723,0.5521951173291065,0.1923937794072924,0.9999601244926453,0.6081791564579055,0.5537810849420951,-0.19275335540304647,0.9999696016311646,0.5415861801111892,0.6978134767158883,0.2985021665101844,0.3976268768310547,0.7428380805295667,0.6860873672789908,-0.21335756143073115,0.9535111784934998,0.39003442064587623,0.8263807584355765,0.4050592749546738,0.836122989654541,0.6694179772635999,0.838618432725226,-0.04469581155892296,0.9463512301445007,0.3560810573312232,0.8354003728130761,0.40612037684811897,0.865101158618927,0.6425794239366529,0.8595580596190233,-0.03267930726800769,0.8900508880615234,0.3943363011300151,0.8841243669703296,0.3292766265866365,0.8621793985366821,0.7205915795617448,0.892937879184465,-0.11297975178582209,0.9364402294158936
5,0.1667,1,0.7186812117938967,0.27203907013495265,-0.12423587698133426,0.9995952844619751,0.7171095833356024,0.25823526171259725,-0.10444424221496226,0.9990415573120117,0.7148471007813956,0.2570927350810085,-0.10472198049505296,0.9990028738975525,0.7125788557501678,0.2557777356712418,-0.10463421737953243,0.9993553757667542,0.7153040813955132,0.25766452987155214,-0.16922322054565128,0.999608039855957,0.7116827461825121,0.25596324185947217,-0.16978407857857142,0.9997068047523499,0.7081453106897988,0.25392401336512144,-0.16993202567795254,0.9997605085372925,0.6861422009123526,0.25077285921518117,0.009946054890252553,0.9997147917747498,0.6822515680239767,0.24948676527935917,-0.2774265452281584,0.9996945261955261,0.7042883142724753,0.28335911341202624,-0.06682911153127277,0.9995242357254028,0.7025513077949326,0.28244538469748126,-0.1516231240092461,0.9997413158416748,0.6316782290285298,0.33128693547004384,0.20324214608658212,0.9999203681945801,0.6221188270684458,0.33008828300696225,-0.36683639543595653,0.9999701976776123,0.5914963003083,0.42573598367628884,0.22538164025281182,0.05639943480491638,0.5149825666890011,0.425635456969411,-0.4731910742107259,0.9920187592506409,0.6683306320286034,0.44594316577022264,-0.021422318241500506,0.23767352104187012,0.5868630392568107,0.5079182822665423,-0.45452269946500795,0.9554917812347412,0.6937316350447841,0.45092815528938635,-0.05243343117566573,0.3428858816623688,0.6116593812173354,0.5198297310264528,-0.503323787506367,0.932870090007782,0.6972099355050749,0.4437584369193711,-0.09259258356761646,0.35235852003097534,0.6190591874100403,0.5075779290466053,-0.49465833135418236,0.9306305050849915,0.6878661543895053,0.44234756121546615,-0.04639308208937285,0.32900500297546387,0.6141245415160719,0.5033218458399084,-0.4483800554747914,0.8794699311256409,0.5942756918482582,0.5500541776766045,0.19094382275095673,0.9999602437019348,0.6144793708841297,0.5526898108718012,-0.19134170032325643,0.999971330165863,0.5275325780704039,0.6966905502172631,0.28087024161448904,0.4062519669532776,0.737709420822163,0.6878570805896427,-0.18532754100494492,0.9558348059654236,0.35885381274845846,0.8027471298382295,0.3881954518439895,0.8126348853111267,0.714321851174594,0.857627885186035,-0.034752402311334335,0.9498081803321838,0.32266447045308516,0.8056365737826137,0.3905137810326409,0.8548245429992676,0.6909653260991306,0.8842800358236551,-0.024783371072827035,0.8967046737670898,0.3493959591799968,0.8657356802122318,0.3161005084782776,0.8352605700492859,0.777314318643585,0.9019659713153815,-0.11608664340194179,0.9368424415588379
6,0.2,1,0.7182210601848893,0.27210119151291096,-0.14411423114613645,0.9993064999580383,0.7164886403472844,0.2578084958600003,-0.12388154417102737,0.9987425208091736,0.7143883380022932,0.2567120532750533,-0.1241865328454474,0.9987104535102844,0.7122592973264519,0.25549684002960815,-0.1240727031616484,0.9991236925125122,0.714510695778686,0.25716103985037336,-0.18958013544688457,0.9994341135025024,0.7109728581977629,0.2554728112993268,-0.19016168320373544,0.9996002316474915,0.7073872290846923,0.25347604305594174,-0.1903264410706949,0.999694287776947,0.6857838130497447,0.25068581041756266,-0.0036375828289225117,0.9995996356010437,0.6815483087982068,0.24954171905984468,-0.29652596211238963,0.999626636505127,0.7036359436584256,0.28332545234884754,-0.08440733600260236,0.9993100762367249,0.7017993353185692,0.2824969425762734,-0.17106213509202875,0.9996139407157898,0.6315954089998379,0.33200310653462073,0.19944328621967733,0.9998480677604675,0.6210745240980664,0.3317500492492763,-0.3841754497486959,0.9999670386314392,0.5830265411408089,0.4304514257780053,0.2198588324662971,0.05121812969446182,0.5170893471835665,0.4301135935983468,-0.4789785816397155,0.9908910393714905,0.6605048149059995,0.467856945483002,-0.03576330970408362,0.2141779512166977,0.5922076589577694,0.5127264894805599,-0.4571169055564152,0.9507980942726135,0.6848473448853408,0.4773196751699035,-0.06589889588021208,0.3093571066856384,0.6172851909012796,0.5249744042372104,-0.5062654223336496,0.9268611073493958,0.6890835910688207,0.47135702129844287,-0.11008494014749758,0.31788507103919983,0.6241532521092266,0.512813830431248,-0.49665791831372336,0.9234004616737366,0.680606895532365,0.46810532623515644,-0.06258850220899127,0.2968382239341736,0.6187451305367188,0.5082618349637752,-0.45049857051222575,0.8676453828811646,0.5960247302666701,0.5510997670791656,0.19100895339931406,0.9999618530273438,0.6206625836156756,0.5554891810828446,-0.19143682926684868,0.9999735355377197,0.524659271562573,0.6986809778602544,0.28557565690198483,0.4329484701156616,0.7242307879708046,0.6957816527440013,-0.149686607187028,0.9579958915710449,0.3382751643657691,0.7769556234488694,0.40465106219400704,0.8103073835372925,0.7363865981290962,0.8815775114895321,0.008032704175977477,0.953876256942749,0.3033189984051504,0.7715623878932516,0.4102724573134273,0.8565447330474854,0.7194788654645301,0.9096709555123534,0.018536967579232008,0.9050448536872864,0.3162135417227985,0.846486222632839,0.34251840714808185,0.8304640054702759,0.8144310077865103,0.911763054090782,-0.08470912139628337,0.9398259520530701
7,0.2333,1,0.7180473023639152,0.27585176342017226,-0.16491145283109462,0.9993255138397217,0.7160110980758594,0.2608486206242538,-0.1458780984470238,0.9987933039665222,0.7140063732376203,0.25978199647856814,-0.14623683621989716,0.9987652897834778,0.7119522322585826,0.2586418201317604,-0.14612314070516358,0.9991604089736938,0.7140027522207155,0.26016226841575396,-0.2109182733078525,0.9994596242904663,0.7105899792173264,0.25853266283904536,-0.21151586550793777,0.9996203184127808,0.7069473637567549,0.25664993794092267,-0.21171879340267177,0.9997112154960632,0.6852588684130954,0.2543134594505489,-0.025032836737085246,0.9996069669723511,0.6808903124226849,0.25350190233656356,-0.3173713738268079,0.9996433258056641,0.7032582144359346,0.2871176366344761,-0.10520511001591665,0.999318540096283,0.7013993634210616,0.2863619043415805,-0.19209232381903255,0.9996212720870972,0.6297273653926285,0.3364494858366078,0.18679171359483496,0.9998299479484558,0.6215247756395599,0.3374146703795683,-0.4044979585634254,0.9999669790267944,0.5719321529904181,0.4402928052248664,0.25791253851149243,0.047198861837387085,0.5293179294724021,0.4419953995373431,-0.48198732976869096,0.9905453324317932,0.6488037895767298,0.49250187413953783,0.07309421709801636,0.19573615491390228,0.6111315170646006,0.5242065214888489,-0.4480256857155096,0.9535385966300964,0.6718422614889004,0.5060682620479799,0.05637588515543408,0.2855031192302704,0.6370480131436076,0.5354500210090685,-0.4966508527318925,0.9308472871780396,0.6767828233870052,0.5016564700431213,0.006498540586646415,0.2936481237411499,0.6431492343371301,0.522693936919278,-0.48438036441803084,0.9274391531944275,0.6710253902526462,0.4967894599293229,0.046158020317582725,0.27480506896972656,0.6371710017010896,0.5182371868259157,-0.4403063504151263,0.8745489716529846,0.5965056060911071,0.5569400892946839,0.19113462670143988,0.9999613761901855,0.6240324284924785,0.5617159454972607,-0.19155596724618051,0.9999747276306152,0.5482475935440254,0.7042717583529614,0.3022823659898525,0.4586535692214966,0.702566145739079,0.7083768220770347,-0.13135921908216905,0.953238308429718,0.35246696540247946,0.75306650933686,0.4591538044330967,0.8099839091300964,0.7254149366369909,0.8905245693691424,0.040043784192565844,0.955669641494751,0.31754855849804087,0.7420684880032145,0.4712932816682729,0.8610162734985352,0.707495932326174,0.9208404719134888,0.05411693508495833,0.9100441932678223,0.3219119759845296,0.8232230412098651,0.41943927427063554,0.8316595554351807,0.8012822346809602,0.91901434843357,-0.0424707367113143,0.9388375282287598
8,0.2667,1,0.718220615720417,0.28220165810940767,-0.15699129053342709,0.9991955161094666,0.7157673031300114,0.26643444260795135,-0.13848119038906165,0.9986515641212463,0.7137753167352492,0.2653810920276292,-0.13889476578760848,0.998637855052948,0.7117213162231018,0.26428566932122527,-0.13880883382160103,0.9990666508674622,0.7138925964459967,0.2658516941092792,-0.20300702247898944,0.9993846416473389,0.7106245611653199,0.26439407363638234,-0.20360193607812072,0.9995745420455933,0.7069392958721097,0.2627681133908275,-0.20383576132652415,0.9996786713600159,0.6847914126647394,0.2606059622653442,-0.01876212362664604,0.9995647072792053,0.6805931539524422,0.26044848846111046,-0.31149231375027997,0.999617874622345,0.7032702142819951,0.29347264210938917,-0.09886930739650385,0.9992844462394714,0.7014873573830094,0.29279145174648996,-0.18640501618750072,0.9996025562286377,0.6256893089601223,0.3432014883953938,0.19281979832615925,0.9998221397399902,0.6231134997936965,0.3454257877139786,-0.41038043640710353,0.9999642372131348,0.5600388063973214,0.4500239619980891,0.30385273087135906,0.047051891684532166,0.5489449944251634,0.4573952787683848,-0.4914667741818872,0.9895082712173462,0.6373205733743872,0.5156324842732003,0.1690091822852139,0.19363151490688324,0.6396489628267191,0.5338644049801204,-0.462312078489847,0.9548003077507019,0.6562001777417746,0.5306185986890116,0.1622608957338934,0.28880059719085693,0.6669972302752512,0.542506551548041,-0.5128265274015629,0.9326059818267822,0.6640725134413852,0.5271109509996057,0.1160193455681242,0.29791387915611267,0.671423835354253,0.5293467328265008,-0.4940747516555397,0.9290435910224915,0.6594560112986545,0.5215320014036631,0.1437890619410765,0.2786121368408203,0.6646938524046159,0.5254030834822677,-0.4523919502616217,0.8766620755195618,0.5941554935939953,0.5640537372002248,0.1928717248089668,0.999960720539093,0.6230369171340441,0.5692906599222654,-0.19329791000256213,0.9999756217002869,0.573600196755017,0.7128671086751514,0.31451261571515204,0.4750775396823883,0.694099276076943,0.7159942813686573,-0.1306158870215463,0.9555618762969971,0.3726497268204375,0.7489222168644563,0.4829077212821643,0.8057979345321655,0.705738146266183,0.8837920969182813,0.03867964824283884,0.9589806199073792,0.3394036854341599,0.736150604583724,0.4975144225748003,0.8584811687469482,0.6779363031709682,0.9150222206449194,0.0548318795043551,0.9151606559753418,0.3431902403459134,0.8166380537139803,0.45894604268329786,0.8279725909233093,0.7623425848556304,0.9212194640875438,-0.026239392632023757,0.9416574835777283
9,0.3,1,0.7186441413172491,0.2887701344934661,-0.12906605121917078,0.9992237091064453,0.7157085961673104,0.27231870803521846,-0.11044940963986688,0.9987289905548096,0.7136569878993906,0.27126174262075775,-0.11086796773358823,0.9987162947654724,0.7115544132141538,0.2701541915501198,-0.11079167306536102,0.9991171956062317,0.7140304176679596,0.27190558414359256,-0.1748809945489564,0.9994153380393982,0.7109066999597721,0.2706717847388391,-0.1754491532564445,0.9995954632759094,0.7072255150143655,0.2692864914457287,-0.17566262467792582,0.9996956586837769,0.6844310170009157,0.2671031717445473,0.0006467131924943435,0.999580979347229,0.6807433621033103,0.26758956092915676,-0.29110592751305764,0.9996378421783447,0.703577990993199,0.2999083943022443,-0.07447158521809796,0.9993049502372742,0.7019378478988361,0.2993064541499938,-0.16140733558537002,0.9996152520179749,0.6193184334359261,0.3494655238442773,0.20651646194619222,0.999823808670044,0.6251459342616436,0.3522791210171234,-0.40509140005200706,0.999965488910675,0.553126129098151,0.4564562150231618,0.3523509610088285,0.04324280843138695,0.5733023848566988,0.47084778575074804,-0.489885426831969,0.9886854290962219,0.628057258668203,0.5275155085644812,0.28129760320960573,0.17644746601581573,0.6728682812555146,0.5356919670299506,-0.4606722380384153,0.9569170475006104,0.643496167270733,0.5417308774722496,0.28650211052218033,0.26516905426979065,0.7016611321544886,0.5422827521543137,-0.5112384305550514,0.9352774024009705,0.6531006816105979,0.5391255806098185,0.23297761061765082,0.2733445167541504,0.704608357313909,0.5291813165296776,-0.4872849943824037,0.9314558506011963,0.6488664259999518,0.5337894080263208,0.25693123758551323,0.25552287697792053,0.6971686603306072,0.5258003649039158,-0.44888336473689594,0.8790644407272339,0.5889146622522186,0.5713241367073338,0.19464527942361853,0.9999610781669617,0.6217822085171605,0.5764803097242532,-0.1950908744043408,0.9999770522117615,0.5771409769158276,0.7229974317106072,0.3190694006033995,0.46820610761642456,0.693881442218951,0.7193214247276749,-0.13142464139731086,0.9547522664070129,0.38017071641130684,0.7564979509595964,0.46515151774966734,0.7700322866439819,0.6666427070583234,0.8722251664786369,0.036039503820952654,0.9598869681358337,0.34769302106403877,0.7453120635661783,0.4785655119341303,0.8385743498802185,0.6396394036449767,0.9005782591713078,0.05481071746745324,0.9142787456512451,0.3532339867317323,0.820128642595733,0.44834514134205405,0.799709677696228,0.7240364258383831,0.9167190819353511,-0.00745072299158655,0.9391468167304993
